CORE PHRASES: 281

   76x | All'inizio ero più scettico che convinto.
   72x | Mi ci è voluto meno del previsto per inquadrarli.
   57x | Il test decisivo per me è sempre la seconda uscita,
   57x | quella senza entusiasmo iniziale,
   56x | La prima impressione è stata migliore del previsto.
   55x | Per questo resta un sì con riserva, non un sì assoluto.
   55x | Mi piace abbastanza da usarlo davvero.
   53x | Li ho comprati per un motivo e li ho tenuti per un altro,
   52x | Hanno quel tipo di design che fa sembrare tutto più pensato.
   51x | La prova vera non l'ho fatta davanti allo specchio,
   50x | Li ho giudicati in dieci secondi e poi li ho rivalutati con calma.
   49x | Mi sono accorto del loro carattere appena uscita dal negozio.
   49x | È uno di quei modelli che stimo più di quanto usi.
   48x | Ogni volta che li indosso cambiano il tono dell'outfit in meglio.
   48x | Sono finiti in valigia per un ponte e da lì non sono più usciti.
   48x | Il primo impatto non dice tutta la verità su questo paio.
   48x | Pensavo di aver capito tutto dalle immagini, invece no.
   47x | C'è un'aria quasi cinematografica nel modo in cui incorniciano lo sguardo.
   46x | Sono più intelligenti che appariscenti, che per me vale doppio.
   45x | Mi hanno accompagnato in una trasferta breve e lì ho capito come reagiscono davvero.
   45x | Li ho messi per una passeggiata in centro e si sono fatti notare subito.
   45x | In foto mi piacevano, ma dal vivo la lettura cambia parecchio.
   44x | Non mi interessa mai il colpo di fulmine in negozio: mi interessa il giorno dopo,
   44x | Ho aspettato qualche uscita prima di farmi un'idea,
   43x | Appena aperta la custodia ho capito che non era un paio banale.
   43x | Li promuovo con convinzione, anche se non sono perfetti.
   43x | Li ho portati durante un weekend a Bologna.
   42x | Sono entrati nella mia rotazione quasi senza chiedere permesso.
   42x | La prima volta li ho indossati per un vernissage.
   41x | Li ricomprerei senza pensarci troppo.
   40x | Più che universali, li definirei coerenti con un gusto preciso.
   40x | È uno di quei modelli che vanno capiti prima di essere amati.
   40x | Dopo tre settimane di uso mi sono fatto un'idea più precisa.
   39x | Mi piace che non cerchino di piacere a tutti, ma a chi li capisce sì.
   39x | Sono uno di quei paia che continuano a crescermi addosso.
   38x | Li ho scelti con più dubbio del previsto e questo li rende ancora più interessanti.
   38x | Si vede che il disegno è curato, anche se non tutto è perfetto.
   38x | Li ho messi per un pranzo lungo all'aperto.
   38x | Non si esauriscono nel primo impatto.
   37x | Li ho presi in un momento in cui volevo cambiare aria al guardaroba.
   37x | All'inizio li guardavo con curiosità più che con convinzione,
   36x | Molto dipende dal volto, ancora più dallo stile personale.
   36x | Ha delle qualità evidenti, sarebbe disonesto negarlo.
   36x | Alla fine resto in equilibrio instabile.
   35x | Mi danno esattamente quella sensazione di prodotto pensato che speravo di trovare.
   35x | Li valuto bene come oggetto, un po' meno come risposta universale.
   35x | Ogni volta che lo rimetto trovo un dettaglio nuovo da apprezzare.
   35x | Lo capisco, semplicemente non lo sento mio fino in fondo.
   35x | Riescono a essere distintivi senza diventare stancanti.
   35x | Mi piacciono abbastanza da usarli spesso comunque.
   35x | Dopo qualche settimana di uso,
   34x | Non sembrano studiati per piacere a tutti, e proprio per questo risultano più credibili.
   34x | Resto in una zona di mezzo: capisco il progetto, non lo amo del tutto.
   34x | Nel loro linguaggio estetico, sono centrati in pieno.
   33x | Sono di quei modelli che vanno raccontati dopo qualche utilizzo, non subito.
   33x | Li ho testati in una giornata piena, dal caffè del mattino all'aperitivo.
   33x | Si inseriscono bene anche in un guardaroba già pieno di cose diverse.
   33x | A volte basta mezzo millimetro nel ponte per spostare tutto.
   33x | Non perfetto, ma abbastanza forte da restare.
   33x | Li ho messi alla prova in più contesti,
   32x | Questa è una di quelle opinioni che nascono più dalla vestibilità che dal gusto astratto.
   32x | Il punto non è che sia sbagliato, è che non mi scatta l'istinto.
   32x | Sono sincero: non siamo mai entrati in sintonia.
   32x | basta a chiudere il discorso. Il resto lo vedo,
   32x | Quindi lo tengo in una terra di mezzo.
   32x | Il resto lo vedo, ma non lo vivo.
   32x | Li ho presi quasi d'impulso,
   31x | È il tipo di acquisto che mi fa sentire di aver scelto bene e non solo d'impulso.
   31x | Quando un modello continua a convincermi dopo più uscite, per me ha già vinto.
   31x | Mi sembra un modello con pregi chiari e limiti altrettanto leggibili.
   31x | Dal vivo hanno una misura che le foto non restituiscono bene.
   31x | Per me sono pieni di personalità ma restano portabili.
   31x | Nel complesso restano un acquisto molto riuscito.
   31x | Sono un bel sì, con qualche piccola riserva.
   30x | Mi sembrano occhiali da scegliere con intenzione, non per automatismo.
   30x | Mi ha dato subito fiducia anche senza bisogno di abituarmi.
   30x | Mi viene spontaneo consigliarlo a chi ha il volto giusto.
   30x | Per me è uno di quei rari acquisti che restano nel tempo.
   30x | Nel complesso mi hanno dato più soddisfazioni che dubbi.
   30x | Restano molto riusciti, solo non universali.
   29x | Ha una presenza che non dipende dal logo, ma dalla forma e da come cade sul viso.
   29x | Sono entrato nella prova con un pregiudizio e ne sono uscito con un altro.
   29x | C'è dentro molta più questione di proporzioni che di semplice tendenza.
   29x | Li consiglio, purché si sappia che hanno un carattere preciso.
   29x | Con il contesto giusto rende molto più che bene.
   29x | Non sono uno che cambia occhiali ogni mese.
   29x | Avevo qualche dubbio iniziale,
   29x | Appena tolti dalla custodia,
   28x | Forse su un altro volto il bilancio cambierebbe anche parecchio.
   28x | Li considero interessanti più che irresistibili.
   27x | Mi aspettavo un modello interessante, non uno che mi venisse voglia di rimettere subito.
   27x | Non è una condanna universale né un'ovazione cieca: è proprio una reazione d'uso.
   27x | Non ho avuto quella fase di dubbio che mi capita con i modelli più costruiti.
   27x | Non sono perfetti in assoluto, ma restano un acquisto molto felice.
   27x | Con i suoi limiti, resta un acquisto che rifarei.
   27x | Lo promuovo, pur senza idealizzarlo.
   26x | Alla fine il bilancio per me è positivo, anche con qualche riserva concreta.
   26x | Quando succede così, non c'è molto da discutere: promosso pienamente.
   25x | Lo promuovo senza esitazioni, con la sola avvertenza che va capito prima di essere davvero amato.
   25x | Sono uno di quei paia che ti fanno venire voglia di uscire anche solo per indossarli.
   25x | Per me hanno centrato un equilibrio raro tra personalità e piacere d'uso.
   25x | Non si affidano al colpo facile ma a un disegno ragionato.
   25x | Nella mia rotazione è entrato davvero, non simbolicamente.
   24x | Non lo sento come un semplice accessorio, ma come una parte del look che ordina tutto il resto.
   24x | Con due piccoli limiti, per me stanno comunque dalla parte dei sì netti.
   24x | Li rimetto con entusiasmo, che per me è il criterio più serio di tutti.
   24x | Mi piace e lo porto, anche se non è il paio che affiderei a chiunque.
   24x | Resto in quella zona grigia in cui apprezzo più di quanto desideri.
   24x | Gli manca poco per convincermi del tutto.
   23x | Il comfort per me resta l'argomento decisivo e qui non arrivo alla sufficienza emotiva.
   23x | Mi lascia quella soddisfazione rara di aver scelto qualcosa con un'identità precisa.
   23x | È il genere di acquisto che mi fa venire voglia di uscire solo per indossarlo.
   23x | Lo rimetto volentieri e questo per me vale più di mille schede tecniche.
   23x | Resta un ottimo acquisto, semplicemente non totalmente universale.
   23x | Mi hanno dato l'impressione di un prodotto con un punto di vista.
   23x | Non li considero sbagliati, ma nemmeno inevitabili.
   23x | Fanno molto meglio dal vivo che nelle foto.
   22x | Ho capito che ammirarlo e abitarlo sono due cose diverse.
   22x | Non cerco mai l'effetto influencer, cerco il paio giusto.
   22x | Hanno un'identità leggibile senza diventare caricatura.
   22x | Non è amore cieco, ma è un sì convinto.
   22x | Non pensavo mi sarebbero piaciuti così,
   22x | Li sto usando più del previsto,
   22x | Col passare dei giorni,
   21x | Quando un occhiale chiede troppe attenzioni smette di essere un piacere.
   21x | Non è un disastro concettuale, è un disastro di compatibilità.
   21x | Non lo boccio, ma non è il paio che cerco istintivamente.
   21x | Peccato, perché qualche qualità ce l'ha.
   21x | La prima cosa che ho notato,
   20x | Tra quelli che possiedo, questo è entrato molto in fretta tra i preferiti.
